Data,BTC,ETH,BNB,ADA,LINK,SOL,DOT,UNI,LUNA,AVAX,ALGO,ATOM,EGLD,AAVE,COMP
2021-05-26,38436.96875,2736.488525390625,367.6557922363281,1.6459599733352661,31.514713287353516,33.584590911865234,23.852981567382812,28.37033462524414,6.653355121612549,19.000335693359375,0.9687860012054443,14.419513702392578,114.24565887451172,369.9781188964844,420.404052734375
2021-05-27,35697.60546875,2419.90625,329.8799133300781,1.5119869709014893,27.951692581176758,29.039276123046875,21.410093307495117,25.924945831298828,5.898266792297363,16.73341178894043,0.898697018623352,12.7180814743042,99.58363342285156,320.38116455078125,377.8130187988281
2021-05-28,34616.06640625,2279.51416015625,305.0521545410156,1.4062319993972778,25.398639678955078,27.376420974731445,19.863374710083008,23.17946434020996,5.490818977355957,16.127492904663086,0.8294129967689514,12.068324089050293,90.75401306152344,297.8996276855469,354.759765625
2021-05-29,35678.12890625,2390.305419921875,325.7840270996094,1.577278971672058,26.86960220336914,28.602659225463867,20.473987579345703,25.74251937866211,6.218207836151123,16.534385681152344,0.8501799702644348,12.588836669921875,92.99762725830078,325.1484069824219,406.1115417480469
2021-05-30,37332.85546875,2714.9453125,354.329345703125,1.742777943611145,32.088584899902344,32.816246032714844,23.430927276611328,28.36971092224121,6.563470840454102,18.161319732666016,0.937608003616333,13.994121551513672,103.95552062988281,383.0834045410156,436.9952087402344
2021-05-31,36684.92578125,2633.518310546875,362.7946472167969,1.7347530126571655,30.699012756347656,30.985260009765625,22.81084632873535,27.395233154296875,6.303988933563232,17.773170471191406,0.8946970105171204,13.757417678833008,101.42830657958984,372.8724670410156,427.7934875488281
2021-06-01,37575.1796875,2706.125,401.2623291015625,1.7528239488601685,30.656301498413086,33.95631790161133,25.957727432250977,27.631479263305664,6.841399192810059,18.677080154418945,1.0182650089263916,14.852792739868164,103.49520874023438,384.4026794433594,435.0738830566406
2021-06-02,39208.765625,2855.12646484375,427.80792236328125,1.8404710292816162,32.19055938720703,39.47090530395508,27.013458251953125,28.630809783935547,7.672639846801758,20.24371337890625,1.1099220514297485,16.63729476928711,107.30301666259766,397.4979553222656,449.3448791503906
2021-06-03,36894.40625,2688.195068359375,391.39532470703125,1.710908055305481,28.87575340270996,37.415069580078125,25.008298873901367,26.442995071411133,6.385731220245361,18.247404098510742,1.0287610292434692,15.08472728729248,96.50010681152344,373.88262939453125,401.2120056152344
2021-06-04,35551.95703125,2630.576904296875,390.4318542480469,1.6590089797973633,27.12679672241211,39.58539962768555,23.816770553588867,25.60755157470703,6.0553460121154785,17.250303268432617,0.9766010046005249,14.873798370361328,96.85371398925781,356.667724609375,388.06414794921875
2021-06-05,35862.37890625,2715.0927734375,393.8202209472656,1.6782480478286743,27.551576614379883,42.30837631225586,24.20159912109375,25.9124813079834,6.249195098876953,17.400110244750977,1.024901032447815,15.098883628845215,97.53678131103516,365.6600341796875,388.7343444824219
2021-06-06,33560.70703125,2590.26318359375,357.3102111816406,1.5641059875488281,24.527210235595703,38.262332916259766,21.6269588470459,24.195165634155273,5.584114074707031,15.522640228271484,0.9552559852600098,13.414450645446777,90.82198333740234,333.8849792480469,342.743408203125
2021-06-07,33472.6328125,2517.438720703125,354.0013732910156,1.5880299806594849,24.174898147583008,41.51781463623047,21.745269775390625,23.53021812438965,5.619856834411621,14.868940353393555,0.9434419870376587,13.630867004394531,89.95721435546875,331.01690673828125,351.7929382324219
2021-06-08,37345.12109375,2608.26708984375,375.73468017578125,1.6248259544372559,25.5693416595459,42.031776428222656,23.184938430786133,25.127302169799805,6.0163421630859375,15.38689136505127,1.046550989151001,13.93913459777832,92.45045471191406,338.59674072265625,363.9151611328125
2021-06-09,36702.59765625,2471.5185546875,352.1831970214844,1.5318570137023926,23.100679397583008,41.09867477416992,22.684816360473633,23.597158432006836,6.136998176574707,14.176407814025879,1.0439200401306152,12.808160781860352,87.24663543701172,310.14837646484375,327.6619873046875
2021-06-10,37334.3984375,2353.768798828125,345.9336853027344,1.436378002166748,21.478967666625977,36.046085357666016,20.985857009887695,21.850969314575195,5.551538944244385,13.418978691101074,0.971231997013092,11.937148094177246,81.03295135498047,285.0817565917969,294.6307373046875
2021-06-11,35552.515625,2372.484375,343.74102783203125,1.4802199602127075,21.686546325683594,36.441688537597656,20.777036666870117,21.3225154876709,5.4975080490112305,13.55193042755127,0.9861140251159668,11.618664741516113,78.9522933959961,278.5140380859375,296.3631896972656
2021-06-12,39097.859375,2508.3916015625,366.6489562988281,1.5583590269088745,23.337600708007812,38.77043533325195,22.07633399963379,23.274320602416992,6.072099208831787,14.775566101074219,1.040552020072937,12.500146865844727,87.2925033569336,317.1291809082031,324.6053161621094
2021-06-13,40218.4765625,2537.89111328125,368.7927551269531,1.5751099586486816,23.860898971557617,38.71305465698242,22.20535659790039,23.407238006591797,6.03755521774292,14.965835571289062,1.0862120389938354,12.611080169677734,89.12046813964844,317.9013671875,327.8197937011719
2021-06-14,40406.26953125,2610.936767578125,373.566162109375,1.597756028175354,26.084226608276367,41.153648376464844,24.760835647583008,24.18085289001465,6.58910608291626,15.18004322052002,1.0711820125579834,13.360295295715332,92.03443908691406,319.7572937011719,351.50811767578125
2021-06-15,38347.0625,2367.66357421875,347.033447265625,1.4825730323791504,23.015077590942383,39.703617095947266,22.97217559814453,21.832225799560547,6.174939155578613,14.067678451538086,1.0159720182418823,13.381440162658691,86.5005111694336,290.26849365234375,304.6003112792969
2021-06-16,38053.50390625,2372.001953125,352.738525390625,1.482193946838379,23.35679054260254,39.264591217041016,22.51145362854004,22.154890060424805,6.154644012451172,14.832069396972656,1.0650780200958252,13.600367546081543,86.28826141357422,292.91461181640625,307.03338623046875
2021-06-17,35787.24609375,2231.733154296875,336.8096923828125,1.415395975112915,21.211151123046875,36.64879608154297,21.398895263671875,20.393360137939453,5.917374134063721,13.627870559692383,0.9850289821624756,12.429533958435059,79.7211685180664,264.3520812988281,278.15106201171875
2021-06-18,35615.87109375,2178.4990234375,335.71282958984375,1.390570044517517,20.423982620239258,35.35343551635742,20.355941772460938,19.91080665588379,5.763191223144531,13.45772933959961,0.9404079914093018,11.941557884216309,79.68260955810547,256.3560791015625,274.8290710449219
2021-06-19,35698.296875,2246.364501953125,340.06719970703125,1.4291880130767822,21.735416412353516,35.32201385498047,20.67236328125,20.8065128326416,5.891520023345947,13.970991134643555,0.9360150098800659,12.013412475585938,80.56341552734375,273.4993591308594,293.6228942871094
2021-06-20,31676.693359375,1888.447509765625,270.98443603515625,1.1774799823760986,17.424097061157227,26.657400131225586,15.769904136657715,15.850638389587402,4.842235088348389,11.210616111755371,0.7550010085105896,9.5482759475708,68.34207153320312,212.98947143554688,221.85006713867188
2021-06-21,32505.66015625,1874.9500732421875,261.8180847167969,1.1532540321350098,16.80649185180664,26.7718563079834,14.652412414550781,16.38027572631836,4.711923122406006,10.526581764221191,0.7432649731636047,8.97330093383789,59.452640533447266,205.751708984375,234.4100799560547
2021-06-22,33723.02734375,1989.736328125,294.49029541015625,1.2528959512710571,18.387203216552734,30.048887252807617,16.14249038696289,17.87169647216797,5.252572059631348,11.193946838378906,0.8330090045928955,10.097492218017578,65.77714538574219,214.0907745361328,248.9296875
2021-06-23,34662.4375,1988.456298828125,308.39703369140625,1.3560869693756104,19.037357330322266,31.181034088134766,16.253658294677734,18.05471420288086,5.454391956329346,11.482956886291504,0.8716210126876831,10.33978271484375,67.36300659179688,210.8598175048828,256.2412109375
2021-06-24,31637.779296875,1813.21728515625,281.62091064453125,1.256477952003479,16.930967330932617,28.698862075805664,14.467696189880371,15.905190467834473,5.06310510635376,10.270669937133789,0.7968019843101501,9.14111042022705,61.77914047241211,187.1687469482422,223.45445251464844
2021-06-25,32186.27734375,1829.2392578125,279.43804931640625,1.250440001487732,16.95522117614746,29.712854385375977,14.499611854553223,16.10042381286621,5.2019171714782715,10.2755708694458,0.8096879720687866,9.543618202209473,63.6269416809082,186.9718780517578,225.18478393554688
2021-06-26,34649.64453125,1978.8946533203125,290.5670166015625,1.3352019786834717,18.344139099121094,31.929391860961914,15.015593528747559,17.095666885375977,5.400850772857666,10.919079780578613,0.834954023361206,10.049683570861816,65.77133178710938,202.67640686035156,257.1568603515625
2021-06-27,34434.3359375,2079.657470703125,289.53411865234375,1.3247519731521606,18.773988723754883,32.92778015136719,15.740378379821777,17.683860778808594,5.529632091522217,11.286295890808105,0.8404840230941772,10.84878158569336,73.49186706542969,226.37249755859375,309.8691711425781
2021-06-28,35867.77734375,2160.768310546875,300.2115478515625,1.3684370517730713,19.460010528564453,33.86680221557617,16.25337028503418,18.554330825805664,5.986422061920166,11.851420402526855,0.8849599957466125,11.5797119140625,84.65750122070312,236.765869140625,309.44940185546875
2021-06-29,35040.8359375,2274.547607421875,303.2958679199219,1.383471965789795,19.497236251831055,35.55640411376953,16.40219497680664,19.278358459472656,6.522355079650879,11.955547332763672,0.8823680281639099,12.00351619720459,85.02845764160156,250.385498046875,335.4320983886719
2021-06-30,33572.1171875,2113.60546875,288.2184143066406,1.3356109857559204,18.273292541503906,33.40403366088867,15.278964042663574,17.870399475097656,5.921539783477783,11.22981071472168,0.8385040163993835,11.11038875579834,80.219970703125,231.62635803222656,333.7294616699219
2021-07-01,33897.046875,2150.040283203125,287.423095703125,1.3943970203399658,18.28356170654297,34.02048110961914,15.340773582458496,18.24172592163086,5.726226806640625,11.132654190063477,0.8462730050086975,11.764925003051758,81.18897247314453,233.9484405517578,367.0119323730469
2021-07-02,34668.546875,2226.1142578125,298.23712158203125,1.4068360328674316,18.538818359375,34.478816986083984,15.553715705871582,19.524757385253906,5.809141159057617,11.503907203674316,0.8766210079193115,11.817927360534668,92.39693450927734,259.65521240234375,379.678955078125
2021-07-03,35287.78125,2321.72412109375,307.7320861816406,1.458184003829956,19.26283836364746,34.31060028076172,16.014026641845703,20.771873474121094,5.973340034484863,12.350099563598633,0.8798410296440125,12.263547897338867,93.59197235107422,277.0387878417969,444.5563049316406
2021-07-04,33746.00390625,2198.58251953125,302.37799072265625,1.4048980474472046,18.37158966064453,32.984588623046875,15.23558235168457,20.09518051147461,6.037942886352539,12.026809692382812,0.8742669820785522,13.54847526550293,97.50611877441406,307.8290710449219,492.95672607421875
2021-07-05,34235.1953125,2324.679443359375,320.934814453125,1.4180530309677124,20.08046531677246,34.26913833618164,16.143564224243164,22.40018653869629,6.530279159545898,13.357434272766113,0.9139779806137085,13.159371376037598,95.77364349365234,316.89849853515625,482.7232666015625
2021-07-06,33855.328125,2315.161865234375,327.5224609375,1.4031180143356323,19.764127731323242,36.59136962890625,16.857789993286133,22.23114585876465,7.090137004852295,13.089753150939941,0.9050790071487427,12.926385879516602,95.35623931884766,314.03887939453125,439.13134765625
2021-07-07,32877.37109375,2120.0263671875,310.4271240234375,1.3301459550857544,18.42205047607422,33.20372772216797,15.337747573852539,20.400131225585938,6.703923225402832,12.119664192199707,0.8693439960479736,11.928683280944824,88.78752136230469,292.2376403808594,415.3042907714844
2021-07-08,33798.01171875,2146.6923828125,316.4845275878906,1.3494739532470703,18.63038444519043,33.2646484375,15.669268608093262,20.985469818115234,8.093796730041504,12.544168472290039,0.9052379727363586,13.164698600769043,89.82166290283203,303.50604248046875,434.1708984375
2021-07-09,33520.51953125,2111.403564453125,316.14013671875,1.3360849618911743,18.207788467407227,31.788644790649414,15.290839195251465,20.2437744140625,7.895116806030273,12.025736808776855,0.8919079899787903,14.400946617126465,88.26338195800781,294.8114013671875,422.97711181640625
2021-07-10,34240.1875,2139.664794921875,322.0316467285156,1.3481450080871582,18.363967895507812,32.17784118652344,15.48243522644043,20.681039810180664,8.422262191772461,12.413664817810059,0.8924329876899719,14.06259536743164,89.19193267822266,304.6822814941406,435.0520324707031
2021-07-11,33155.84765625,2036.7210693359375,316.32818603515625,1.3150990009307861,17.55035400390625,30.848087310791016,14.873132705688477,19.587623596191406,7.891665935516357,12.186532974243164,0.8701429963111877,13.04565715789795,88.61556243896484,297.6012878417969,413.8807067871094
2021-07-12,32702.025390625,1940.083984375,308.8111572265625,1.2650829553604126,16.866161346435547,29.12118911743164,14.18964958190918,18.438556671142578,7.103418827056885,11.914669036865234,0.8738759756088257,12.113471984863281,85.69490814208984,270.66943359375,386.7662353515625
2021-07-13,32822.34765625,1994.331298828125,309.4063720703125,1.2622580528259277,16.945682525634766,31.2810001373291,13.799570083618164,17.868684768676758,6.918966770172119,11.792096138000488,0.8588359951972961,11.749421119689941,84.18035888671875,279.3346252441406,410.18658447265625
2021-07-14,31780.73046875,1911.1756591796875,315.2440185546875,1.2231919765472412,15.681652069091797,28.45210075378418,13.08484935760498,16.996023178100586,6.6125168800354,11.349885940551758,0.8312079906463623,11.431245803833008,78.82976531982422,271.5106201171875,398.3701477050781
2021-07-15,31421.5390625,1880.3829345703125,302.985595703125,1.1737149953842163,15.26286506652832,26.37000846862793,12.053826332092285,16.408367156982422,6.578952789306641,10.860897064208984,0.7849929928779602,11.179139137268066,74.57254791259766,254.0478057861328,368.6653137207031
2021-07-16,31533.068359375,1898.8251953125,300.4979248046875,1.172302007675171,15.360055923461914,26.721668243408203,12.292176246643066,16.106517791748047,6.478758811950684,10.927745819091797,0.7846919894218445,11.000161170959473,74.26312255859375,252.80287170410156,378.89794921875
2021-07-17,31796.810546875,1895.5521240234375,302.4804992675781,1.183698058128357,15.502411842346191,26.751909255981445,12.682146072387695,16.36115837097168,6.496267795562744,10.70465087890625,0.7999110221862793,10.983057975769043,74.58341217041016,254.69766235351562,380.2754821777344
2021-07-18,30817.83203125,1817.296630859375,280.01861572265625,1.121116042137146,14.509061813354492,24.44757652282715,11.425251007080078,15.689140319824219,5.9539618492126465,10.169768333435059,0.7492539882659912,9.958948135375977,69.84172821044922,237.7721710205078,338.78546142578125
2021-07-19,29807.34765625,1787.5107421875,264.7823791503906,1.0562909841537476,13.775897026062012,23.48955535888672,10.98121166229248,14.599843978881836,5.8709821701049805,9.650588035583496,0.697206974029541,9.485713958740234,67.77403259277344,223.61474609375,350.1842346191406
2021-07-20,32110.693359375,1990.9708251953125,292.5313720703125,1.168097972869873,15.268477439880371,26.623079299926758,12.305878639221191,16.679479598999023,6.608770847320557,10.420524597167969,0.7656009793281555,10.41718578338623,76.23806762695312,258.4798583984375,375.8327331542969
2021-07-21,32313.10546875,2025.2027587890625,293.6411437988281,1.1861610412597656,16.085718154907227,27.70208168029785,13.161491394042969,17.59596824645996,7.346724033355713,10.828587532043457,0.7973380088806152,11.377148628234863,78.86222076416016,278.51422119140625,414.53521728515625
2021-07-22,33581.55078125,2124.776611328125,299.2829895019531,1.206307053565979,16.51156234741211,28.513879776000977,13.397968292236328,18.623628616333008,7.925920009613037,11.099355697631836,0.8079860210418701,11.459868431091309,80.25231170654297,289.88433837890625,417.5601806640625
2021-07-23,34292.4453125,2189.21875,302.0718688964844,1.2334970235824585,16.70583152770996,28.702619552612305,13.805340766906738,18.278602600097656,8.486323356628418,11.17281723022461,0.8287979960441589,11.452106475830078,82.76741790771484,288.3949890136719,409.9916687011719
2021-07-24,35350.1875,2191.373779296875,302.4361572265625,1.2285009622573853,16.759658813476562,28.168773651123047,13.712599754333496,18.27025604248047,8.253888130187988,11.2407865524292,0.890030026435852,11.451760292053223,84.86847686767578,287.9708251953125,391.05401611328125
2021-07-25,37337.53515625,2233.36669921875,304.4782409667969,1.2584929466247559,18.08965301513672,28.306642532348633,13.951711654663086,18.568395614624023,8.519877433776855,11.492170333862305,0.8507680296897888,11.408082008361816,86.41413879394531,303.3172607421875,393.6260986328125
2021-07-26,39406.94140625,2298.33349609375,313.60260009765625,1.2784459590911865,19.4996337890625,28.065326690673828,14.37607192993164,18.882579803466797,9.507802963256836,11.91977310180664,0.8542119860649109,11.713591575622559,86.40572357177734,300.0031433105469,392.406494140625
2021-07-27,39995.90625,2296.54541015625,313.42864990234375,1.2835040092468262,19.0302734375,27.815410614013672,14.538834571838379,19.015607833862305,10.966312408447266,12.256926536560059,0.8424050211906433,11.558524131774902,84.97123718261719,297.06927490234375,387.7415771484375
2021-07-28,40008.421875,2380.956787109375,316.74945068359375,1.2840839624404907,19.345849990844727,31.281137466430664,15.236948013305664,19.542638778686523,11.044137001037598,12.41838264465332,0.8455179929733276,11.761094093322754,85.02037811279297,311.39813232421875,395.90106201171875
2021-07-29,42235.546875,2466.96142578125,322.90936279296875,1.3089519739151,22.315961837768555,32.393943786621094,15.838522911071777,20.97228240966797,10.845376968383789,13.002365112304688,0.8529030084609985,12.150323867797852,86.93451690673828,321.56524658203125,404.55755615234375
2021-07-30,41626.1953125,2536.2099609375,333.5495910644531,1.3223450183868408,22.75370216369629,36.82731246948242,16.847204208374023,21.811683654785156,10.757214546203613,13.591609001159668,0.8412489891052246,12.606651306152344,86.10712432861328,331.0182800292969,406.10626220703125
2021-07-31,39974.89453125,2561.85205078125,333.4840087890625,1.3177299499511719,22.12683868408203,34.25436019897461,18.413965225219727,22.032346725463867,11.928194046020508,12.877431869506836,0.8141409754753113,12.362028121948242,87.18799591064453,317.4993591308594,410.59954833984375
2021-08-01,39201.9453125,2610.1533203125,331.1031188964844,1.3100680112838745,23.480348587036133,33.22241973876953,18.017284393310547,22.40984535217285,12.329427719116211,13.006891250610352,0.8177760243415833,12.48671817779541,104.48841857910156,320.7098083496094,407.92431640625
2021-08-02,38152.98046875,2502.349609375,322.74774169921875,1.3650259971618652,23.875957489013672,33.99644088745117,17.33682632446289,21.27823257446289,14.719024658203125,12.533293724060059,0.8167719841003418,12.088598251342773,97.88760375976562,307.9954528808594,396.0466613769531
2021-08-03,39747.50390625,2724.619873046875,334.9187927246094,1.3765640258789062,24.188875198364258,35.76362609863281,19.16309356689453,23.526203155517578,14.51312255859375,13.679924964904785,0.8277810215950012,12.787025451660156,102.4478530883789,338.7901306152344,464.4546203613281
2021-08-04,40869.5546875,2827.328857421875,337.8738708496094,1.386144995689392,24.050495147705078,37.35513687133789,19.13237190246582,25.440156936645508,14.554635047912598,13.834280967712402,0.8512730002403259,13.024024963378906,108.94659423828125,373.052001953125,474.90692138671875
2021-08-05,42816.5,2890.941650390625,342.1369934082031,1.401785969734192,23.85933494567871,39.446102142333984,20.400678634643555,26.160932540893555,14.498414039611816,14.725431442260742,0.8540189862251282,13.580483436584473,115.48894500732422,369.715087890625,466.5033264160156
2021-08-06,44555.80078125,3157.23876953125,355.7413635253906,1.4706770181655884,24.63165283203125,39.403472900390625,20.96709442138672,28.185483932495117,14.588269233703613,15.761190414428711,0.8754990100860596,14.007085800170898,117.70658874511719,384.1985168457031,505.9261474609375
2021-08-07,43798.1171875,3013.732666015625,342.06475830078125,1.4278299808502197,23.045608520507812,37.673824310302734,19.676132202148438,26.722593307495117,13.414520263671875,14.814119338989258,0.8254209756851196,13.132248878479004,125.45685577392578,361.0386657714844,466.72113037109375
2021-08-08,46365.40234375,3167.856201171875,354.9668273925781,1.4776400327682495,24.287246704101562,38.767784118652344,20.6209716796875,28.402530670166016,13.969467163085938,16.2318058013916,0.8554109930992126,13.682089805603027,134.8929901123047,374.9955749511719,467.9354248046875
2021-08-09,45585.03125,3141.691162109375,371.9543762207031,1.6725660562515259,24.566286087036133,40.63979721069336,20.608009338378906,28.7582950592041,16.74758529663086,16.44843864440918,0.8826509714126587,14.0942964553833,139.65130615234375,383.8146667480469,472.71649169921875
2021-08-10,45593.63671875,3164.2451171875,391.7570495605469,1.7980380058288574,25.9465389251709,41.74411392211914,21.402421951293945,29.000503540039062,17.0195369720459,16.74867820739746,0.9122030138969421,14.599297523498535,135.4740447998047,403.39801025390625,468.7892150878906
2021-08-11,44428.2890625,3043.414306640625,385.8189697265625,1.8238780498504639,24.917234420776367,41.099361419677734,20.754806518554688,28.047378540039062,16.568950653076172,16.569053649902344,0.8828870058059692,14.038819313049316,134.0862274169922,391.80963134765625,452.8674621582031
2021-08-12,47793.3203125,3322.211669921875,410.94488525390625,2.1360790729522705,27.733137130737305,44.894500732421875,22.714149475097656,30.574594497680664,17.801057815551758,18.04875373840332,0.9546359777450562,15.207443237304688,138.1802520751953,427.4329528808594,483.64263916015625
2021-08-13,47096.9453125,3265.443359375,409.03448486328125,2.1916871070861816,27.15542221069336,44.112850189208984,22.861026763916016,30.137561798095703,17.402936935424805,18.067649841308594,0.9322149753570557,15.551835060119629,137.11984252929688,414.48822021484375,477.2200622558594
2021-08-14,47047.00390625,3310.504150390625,414.59503173828125,2.1691529750823975,27.90401268005371,53.74515914916992,23.17401695251465,30.252153396606445,19.28481674194336,18.795135498046875,0.9964510202407837,15.904951095581055,136.69309997558594,410.7897033691406,489.4460754394531
2021-08-15,46004.484375,3156.509521484375,417.4708557128906,2.0794169902801514,28.084339141845703,62.432464599609375,24.535856246948242,29.203548431396484,22.000459671020508,19.18263053894043,0.949383020401001,15.853260040283203,136.6855926513672,414.48309326171875,471.72918701171875
2021-08-16,44695.359375,3014.845947265625,401.9089050292969,1.9266010522842407,26.15813636779785,64.21070861816406,23.533639907836914,26.419477462768555,25.23495864868164,23.529998779296875,0.8847249746322632,15.994036674499512,140.04551696777344,381.40869140625,446.9352111816406
2021-08-17,44801.1875,3020.08984375,398.25146484375,2.108560085296631,25.512895584106445,72.5433120727539,23.948135375976562,26.58272933959961,30.841764450073242,29.89081382751465,0.9248210191726685,17.997228622436523,147.22447204589844,381.0037536621094,436.8855285644531
2021-08-18,46717.578125,3182.7021484375,430.9888610839844,2.4281399250030518,27.064760208129883,72.75760650634766,26.548627853393555,27.957237243652344,29.3968563079834,30.634273529052734,1.0444979667663574,18.68208122253418,146.16004943847656,404.9189453125,457.6669616699219
2021-08-19,49339.17578125,3286.935302734375,454.9363098144531,2.4577019214630127,28.701841354370117,78.72461700439453,28.146953582763672,28.867103576660156,30.652450561523438,39.185302734375,1.1381640434265137,18.921852111816406,155.94419860839844,409.0296936035156,480.04486083984375
2021-08-20,48905.4921875,3226.083984375,448.9202575683594,2.4354350566864014,27.861591339111328,73.75621032714844,27.873336791992188,28.248825073242188,27.551191329956055,43.78691101074219,1.1470979452133179,22.094785690307617,149.12527465820312,400.1338806152344,462.3250427246094
