Date,DOT1-USD
2021-08-07,20.96709442138672
2021-08-08,19.676132202148438
2021-08-09,20.6209716796875
2021-08-10,20.608009338378906
2021-08-11,21.402421951293945
2021-08-12,20.754806518554688
2021-08-13,22.714149475097656
2021-08-14,22.861026763916016
2021-08-15,23.17401695251465
2021-08-16,24.535856246948242
2021-08-17,23.533639907836914
2021-08-18,23.948135375976562
2021-08-19,26.548627853393555
2021-08-20,28.146953582763672
2021-08-21,27.873336791992188
2021-08-22,27.736873626708984
2021-08-23,27.89130973815918
2021-08-24,25.081445693969727
2021-08-25,25.935373306274414
2021-08-26,23.981494903564453
2021-08-27,26.569753646850586
2021-08-28,25.96674156188965
2021-08-29,25.73291778564453
2021-08-30,26.044719696044922
2021-08-31,31.470020294189453
2021-09-01,33.13948059082031
2021-09-02,31.814712524414062
2021-09-03,33.67427444458008
2021-09-04,32.41751480102539
2021-09-05,34.408790588378906
2021-09-06,34.31120300292969
2021-09-07,27.82574462890625
2021-09-08,27.70879364013672
2021-09-09,29.835569381713867
2021-09-10,29.215356826782227
2021-09-11,31.594602584838867
2021-09-12,35.77433776855469
2021-09-13,34.76799011230469
2021-09-14,37.37580108642578
2021-09-15,36.46339416503906
2021-09-16,35.547550201416016
2021-09-17,33.021385192871094
2021-09-18,34.89886474609375
2021-09-19,33.801334381103516
2021-09-20,28.051830291748047
2021-09-21,26.31650161743164
2021-09-22,31.611772537231445
2021-09-23,33.54473876953125
2021-09-24,30.842344284057617
2021-09-25,29.843185424804688
2021-09-26,28.828662872314453
2021-09-27,27.772104263305664
2021-09-28,26.33382797241211
2021-09-29,27.274255752563477
2021-09-30,28.58061981201172
2021-10-01,31.96877670288086
2021-10-02,32.122108459472656
2021-10-03,32.105255126953125
2021-10-04,31.042125701904297
2021-10-05,31.427457809448242
2021-10-06,32.28961181640625
2021-10-07,33.97454833984375
2021-10-08,33.372894287109375
2021-10-09,36.3274040222168
2021-10-10,34.4664192199707
2021-10-11,34.18463134765625
2021-10-12,35.159767150878906
2021-10-13,41.6169319152832
2021-10-14,40.75510025024414
2021-10-15,43.15711212158203
2021-10-16,41.757625579833984
2021-10-17,42.073951721191406
2021-10-18,41.18367004394531
2021-10-19,41.38401412963867
2021-10-20,44.348655700683594
2021-10-21,42.846519470214844
2021-10-22,43.44936752319336
2021-10-23,44.04997253417969
2021-10-24,42.385658264160156
2021-10-25,44.5266227722168
2021-10-26,44.883872985839844
2021-10-27,40.41045379638672
2021-10-28,41.861690521240234
2021-10-29,44.07362365722656
2021-10-30,42.747833251953125
2021-10-31,42.742095947265625
2021-11-01,49.98225402832031
2021-11-02,51.631351470947266
2021-11-03,53.443702697753906
2021-11-04,53.88173294067383
2021-11-05,51.89467239379883
2021-11-06,52.00921630859375
2021-11-07,52.27798080444336
2021-11-08,53.34845733642578
2021-11-09,50.779361724853516
2021-11-10,46.87133026123047
2021-11-11,47.64762496948242
2021-11-12,45.88080596923828
2021-11-13,47.12905502319336
2021-11-14,46.40182113647461
2021-11-15,44.688716888427734
2021-11-16,40.899314880371094
2021-11-17,42.70829391479492
2021-11-18,39.04596710205078
2021-11-19,41.26102066040039
2021-11-20,42.060428619384766
2021-11-21,42.005706787109375
2021-11-22,39.447872161865234
2021-11-23,40.79104232788086
2021-11-24,39.36941909790039
2021-11-25,38.45594787597656
2021-11-26,34.38590621948242
2021-11-27,35.18669891357422
2021-11-28,35.76512145996094
2021-11-29,37.162654876708984
2021-11-30,37.96049499511719
2021-12-01,36.77326583862305
2021-12-02,35.75789260864258
2021-12-03,33.639530181884766
